CID-10|Desc. CID-10
O800|Parto espontâneo cefálico
O809|Parto único espontâneo, não especificado
O821|Parto por cesariana de emergência
J189|Pneumonia não especificada
J159|Pneumonia bacteriana não especificada
P599|Icterícia neonatal não especificada
N390|Infecção do trato urinário de localização não especificada
I500|Insuficiência cardíaca congestiva
I64|Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico
K359|Apendicite aguda sem outra especificação
O820|Parto por cesariana eletiva
A09|Diarréia e gastroenterite de origem infecciosa presumível
O034|Aborto espontâneo - incompleto, sem complicações
J459|Asma não especificada
Z302|Esterilização
I509|Insuficiência cardíaca não especificada
O021|Aborto retido
O829|Parto por cesariana, não especificada
I10|Hipertensão essencial (primária)
P073|Outros recém-nascidos de pré-termo
A499|Infecção bacteriana não especificada
K802|Calculose da vesícula biliar sem colecistite
I200|Angina instável
J219|Bronquite aguda não especificada
A419|Septicemia não especificada
F29|Psicose não-orgânica não especificada
O13|Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
K409|Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena
O342|Assistência prestada à mãe por cicatriz uterina devida a uma cirurgia anterior
O998|Outras doenças e afecções especificadas complicando a gravidez, o parto e o puerpério
I219|Infarto agudo do miocárdio não especificado
O759|Complicações do trabalho de parto e do parto, não especificadas
N189|Insuficiência renal crônica não especificada
T039|Luxações, entorses e distensões múltiplas, não especificadas
T019|Ferimentos múltiplos não especificados
J158|Outras pneumonias bacterianas
P399|Infecção própria do período perinatal não especificada
R100|Abdome agudo
B342|Infecção por coronavírus de localização não especificada
P969|Afecções originadas no período perinatal não especificadas
G409|Epilepsia, não especificada
Z370|Nascimento único, nativivo [nado-vivo]
O48|Gravidez prolongada
D259|Leiomioma do útero, não especificado
K800|Calculose da vesícula biliar com colicistite aguda
K808|Outras colelitíases
L989|Afecções da pele e do tecido subcutâneo, não especificados
O654|Obstrução do trabalho de parto devida a desproporção feto-pélvica, não especificada
A90|Dengue [dengue clássico]
F200|Esquizofrenia paranóide
J960|Insuficiência respiratória aguda
C910|Leucemia linfoblástica aguda
O828|Outros tipos de parto único por cesariana
I209|Angina pectoris, não especificada
K810|Colecistite aguda
O908|Outras complicações do puerpério, não classificadas em outra parte
O420|Ruptura prematura de membranas, com início do trabalho de parto dentro de 24 horas
K805|Calculose de via biliar sem colangite ou colecistite
J449|Doença pulmonar obstrutiva crônica não especificada
J068|Outras infecções agudas das vias aéreas superiores de localizações múltiplas
L038|Celulite de outros locais
S068|Outros traumatismos intracranianos
O244|Diabetes mellitus que surge durante a gravidez
J188|Outras pneumonias devidas a microorganismos não especificados
J448|Outras formas especificadas de doença pulmonar obstrutiva crônica
S525|Fratura da extremidade distal do rádio
O200|Ameaça de aborto
P925|Dificuldade neonatal na amamentação no peito
C509|Neoplasia maligna da mama, não especificada
P229|Desconforto respiratório não especificado do recém-nascido
I469|Parada cardíaca não especificada
S828|Fratura de outras partes da perna
O470|Falso trabalho de parto antes de se completarem 37 semanas de gestação
S822|Fratura da diáfise da tíbia
O429|Ruptura prematura de membranas, não especificada
N180|Doença renal em estádio final
P081|Outros recém-nascidos grandes para a idade gestacional
R509|Febre não especificada
C61|Neoplasia maligna da próstata
P051|Pequeno para a idade gestacional
J450|Asma predominantemente alérgica
O701|Laceração de períneo de segundo grau durante o parto
