Código|Procedimento
310010039|Parto Normal
411010034|Parto Cesariano
303140151|Tratamento de Pneumonias ou Influenza (gripe)
303100044|Tratamento de Intercorrencias Clínicas na Gravidez
303160039|Tratamento de Outros Transtornos Originados no Periodo Perinatal
303060212|Tratamento de Insuficiencia Cardíaca
301060088|Diagnostico e/ou Atendimento de Urgência em Clínica Medica
301060010|Diagnostico e/ou Atendimento de Urgência em Clínica Pediatrica
303140046|Tratamento das Doenças Cronicas das Vias Aereas Inferiores
303010037|Tratamento de Outras Doenças Bacterianas
308010019|Tratamento de Traumatismos de Localizacão Especificada / não Especificada
411020013|Curetagem Pós-abortamento / Puerperal
411010026|Parto Cesariano em Gestacão de Alto Risco
303170093|Tratamento em Psiquiatria (por Dia)
303040149|Tratamento de Acidente Vascular Cerebral - Avc (isquemico ou Hemorragico Agudo)
407020039|Apendicectomia
303150050|Tratamento de Outras Doenças do Aparelho Urinario
303070129|Tratamento de Transtornos das Vias Biliares e Pancreas
301060070|Diagnostico e/ou Atendimento de Urgência em Clínica Cirúrgica
303160047|Tratamento de Transtornos Hemorragicos e Hematologicos do Feto e do Recem-nascido
304100021|Tratamento Clínico de Paciente Oncológico
303160055|Tratamento de Transtornos Relacionados c/ a Duracão da Gestacão e c/ O Crescimento Fetal
303010061|Tratamento de Doenças Infecciosas e Intestinais
303030038|Tratamento de Diabetes Mellitus
304100013|Tratamento de Intercorrências Clínicas de Paciente Oncológico
407040161|Laparotomia Exploradora
407030026|Colecistectomia
301050074|Internação Domiciliar
415010012|Tratamento c/ Cirurgias Múltiplas
409060070|Esvaziamento de Útero Pós-aborto por Aspiração Manual Intra-uterina (amiu)
303140143|Tratamento de Outras Infeccoes Agudas das Vias Aereas Inferiores
305020013|Tratamento da Pielonefrite
303080078|Tratamento de Estreptococcias
308040015|Tratamento de Complicacoes de Procedimentos Cirúrgicos ou Clinicos
303070064|Tratamento de Doenças do Esôfago Estomago e Duodeno
305020056|Tratamento de Insuficiencia Renal Cronica
303040165|Tratamento de Crises Epileticas não Controladas
303060190|Tratamento de Infarto Agudo do Miocárdio
303160063|Tratamento de Transtornos Respiratorios e Cardiovasculares Especificos do Periodo Neonatal
407040102|Hernioplastia Inguinal / Crural (unilateral)
308020030|Tratamento de Intoxicacão ou Envenenamento por Exposicão a Medicamento e Substancias de Uso não Medi
303080060|Tratamento de Estafilococcias
303060280|Tratamento de Sindrome Coronariana Aguda
303100010|Tratamento de Complicacoes Relacionadas Predominantemente ao Puerperio
303070110|Tratamento de Outras Doenças do Intestino
411010077|Sutura de Laceracoes de Trajeto Pélvico (no Parto Antes da Admissão)
303060107|Tratamento de Crise Hipertensiva
308010043|Tratamento de Traumatismos Envolvendo Múltiplas Regioes do Corpo
303070102|Tratamento de Outras Doenças do Aparelho Digestivo
303070072|Tratamento de Doenças do Fígado
407030034|Colecistectomia Videolaparoscopica
310010047|Parto Normal em Gestacão de Alto Risco
304080020|Internação p/ Quimioterapia de Administração Contínua
303160020|Tratamento de Infeccoes Especificas do Periodo Perinatal
409040240|Vasectomia
412040166|Toracostomia com Drenagem Pleural Fechada
303140100|Tratamento de Infeccoes Agudas das Vias Aereas Superiores
303010223|Tratamento de Infecção pelo Coronavírus – Covid 19
303150033|Tratamento de Doenças Inflamatorias dos Órgãos Pélvicos Femininos
303140135|Tratamento de Outras Doenças do Aparelho Respiratorio
303060026|Tratamento de Arritmias
305020021|Tratamento de Cálculose Renal
303010010|Tratamento de Dengue Clássica
406030030|Angioplastia Coronariana c/ Implante de Stent
303020040|Tratamento de Anemia Hemolitica
409060046|Curetagem Semiotica c/ ou s/ Dilatação do Colo do Útero
410010111|Setorectomia / Quadrantectomia
407040129|Hernioplastia Umbilical
409060135|Histerectomia Total
303040084|Tratamento Conservador de Traumatismo CrânioenCefálico (grau Leve)
303130067|Tratamento de Paciente Sob Cuidados Prolongados por Enfermidades Oncologicas
303060298|Tratamento de Trombose Venosa Profunda
401020100|Extirpacão e Supressao de Lesao de Pele e de Tecido Célular Subcutaneo
303060255|Tratamento de Parada Cardíaca c/ Ressuscitacao
408050497|Tratamento Cirúrgico de Fratura Bimaleolar / Trimaleolar / da Fratura-luxação do Tornozelo
415040035|Debridamento de Ulcera / de Tecidos Desvitalizados
408060450|Tenomiorrafia
303150025|Tratamento de Doenças Glomerulares
408020407|Tratamento Cirúrgico de Fratura da Extremidade / Metáfise Distal dos Ossos do Antebraço
408050500|Tratamento Cirúrgico de Fratura da Diáfise da Tíbia
506020045|Tratamento de Intercorrência Pós-transplante de Órgãos / Células-tronco Hematopoéticas
303020059|Tratamento de Anemias Nutricionais
303030046|Tratamento de Disturbios Metabolicos
303170190|Tratamento em Psiquiatria de Curta Permanencia por Dia (permanencia Até 90 Dias)
303090316|Tratamento das Poliartropatias Inflamatorias
411010042|Parto Cesariano c/ Laqueadura Tubaria
303170140|Tratamento Clínico para Contenção de Comportamento Desorganizado e/ou Disruptivo
409060186|Laqueadura Tubaria
408050519|Tratamento Cirúrgico de Fratura da Diáfise do Fêmur
305020048|Tratamento de Insuficiencia Renal Aguda
404010377|Traqueostomia
